Intercept;Maximum_height;Leaf_area;Anemochoric;Zoochoric;Climax;Early_secondary;Late_secondary;Central_sa;Eastern_sa;Local_endemic;Neotropical;Pantropical;Regional_endemic;Sa;Southern_sa;Seed_length;Wood_density;Leaf_type
1;18.54;1.478160239;0;1;0;1;0;0;0;0;1;0;0;0;0;-0.664007501;0.576583333;0
1;20.4;1.882995975;0;1;0;0;1;0;0;0;1;0;0;0;0;-0.279757982;0.664;0
1;25;1.246836246;0;1;0;0;1;0;0;0;1;0;0;0;0;-0.285586408;0.624485758;0
1;35;1.323228107;0;1;0;1;0;0;0;0;0;0;0;1;0;-0.452717692;0.691;0
1;14.1;1.365524875;0;1;0;1;0;0;0;0;1;0;0;0;0;-0.698752911;0.735;0
1;16.8;1.906485555;0;1;0;1;0;0;0;0;1;0;0;0;0;-0.346690987;0.7075;0
1;18;1.610570922;0;1;0;0;1;0;1;0;0;0;0;0;0;-0.232769902;0.6;0
1;30;1.516179573;0;1;0;0;1;0;0;0;0;0;0;1;0;-0.32321497;0.586;0
1;23;1.178885179;0;1;0;1;0;0;1;0;0;0;0;0;0;-0.659853449;0.640666667;0
1;15.8;1.578587199;0;1;0;1;0;0;1;0;0;0;0;0;0;-0.187019834;0.5695;0
1;20;1.453949645;0;1;0;1;0;0;0;0;1;0;0;0;0;-0.258900951;0.690909091;0
1;21.6;1.533119518;0;1;0;1;0;0;0;0;0;0;0;1;0;-0.823619308;0.61125;0
1;20;0.328659718;0;0;0;1;0;0;1;0;0;0;0;0;0;-0.193752173;0.806166667;1
1;24.47;3.30639092;0;1;0;0;0;0;1;0;0;0;0;0;0;0.371086342;0.277440642;0
1;25;3.395549348;0;1;0;0;0;0;0;0;0;0;1;0;0;-0.545002783;0.372333333;0
1;20;3.099571625;0;1;0;0;0;0;0;0;0;0;0;1;0;-0.603626272;0.402923077;0
1;19;3.099209864;0;1;0;0;0;0;0;0;0;0;0;1;0;-0.172178572;0.228;0
1;30;1.469410043;1;0;0;1;0;0;0;0;0;0;0;1;0;0.551462197;0.494;1
1;35;1.406848276;1;0;0;1;0;0;0;0;0;0;0;1;0;0.452312999;0.467139405;1
1;28;1.312457763;1;0;0;0;1;0;1;0;0;0;0;0;0;-0.300943145;0.365;1
1;14.2;1.215834658;0;1;0;0;0;0;0;0;1;0;0;0;0;-0.022230682;0.696;0
1;25.7142;1.342247913;1;0;0;0;1;0;0;0;0;0;1;0;0;0.123884293;0.7275;1
1;31.5;1.76651686;1;0;0;1;0;0;1;0;0;0;0;0;0;0.278013909;0.648;1
1;8;1.569491694;0;1;0;0;0;0;1;0;0;0;0;0;0;-0.300943145;0.28;0
1;12.4;2.021383672;0;1;0;1;0;0;1;0;0;0;0;0;0;-0.259558355;0.28;0
1;19;1.186569734;0;1;0;1;0;0;1;0;0;0;0;0;0;-0.346690987;0.28;0
1;8;1.991565383;0;1;0;0;0;0;0;0;1;0;0;0;0;-0.346690987;0.28;0
1;8;1.502410842;0;1;0;0;0;0;0;0;1;0;0;0;0;-0.346690987;0.28;0
1;21.7;1.03339258;0;1;0;0;1;0;0;0;0;0;0;1;0;-0.229074385;0.763719167;0
1;18;1.743676843;0;1;0;1;0;0;0;0;1;0;0;0;0;0.471844009;0.75;0
1;21;-0.458996844;0;0;0;1;0;0;1;0;0;0;0;0;0;-0.221776373;0.6;1
1;9;0.693049525;0;1;0;1;0;0;1;0;0;0;0;0;0;-0.09685573;0.69;0
1;7.6;1.230045998;0;1;0;1;0;0;1;0;0;0;0;0;0;-0.09685573;0.79;0
1;13.2;1.712514605;0;1;0;1;0;0;0;0;0;0;1;0;0;0.278776458;0.576494112;0
1;24.7;1.599453259;0;1;0;0;1;0;0;0;0;0;0;1;0;0.177084175;0.7024;0
1;17.424;1.20948819;0;1;0;0;1;0;1;0;0;0;0;0;0;0.287824116;0.707;0
1;30.6;1.720234836;0;1;0;0;1;0;0;0;1;0;0;0;0;0.16823223;0.770333333;0
1;17.8;0.791241953;0;1;0;1;0;0;1;0;0;0;0;0;0;-0.192622844;0.6922;0
1;22;1.537100744;0;1;0;0;1;0;1;0;0;0;0;0;0;0.022057021;0.6875;0
1;29.4;1.316947949;0;1;1;0;0;0;1;0;0;0;0;0;0;0.305372869;0.667761976;0
1;20.8;1.132576012;0;1;0;0;1;0;0;0;0;0;1;0;0;4.34E-05;0.57;0
1;29.2;1.344182412;0;1;1;0;0;0;0;0;0;0;1;0;0;0.110623375;0.85;0
1;19.2;1.122333663;0;1;1;0;0;0;0;0;0;0;1;0;0;0.120524577;0.550542857;0
1;24;1.435262882;0;1;0;0;1;0;0;0;1;0;0;0;0;0.120524577;0.471;0
1;9.4;1.569491694;0;1;0;0;0;0;1;0;0;0;0;0;0;0.041432165;0.7;0
1;20;1.770151145;0;1;0;0;0;0;1;0;0;0;0;0;0;0.041432165;0.416666667;0
1;12.7;1.453798452;0;1;0;0;1;0;1;0;0;0;0;0;0;0.196203829;0.65;0
1;18.75;1.919995124;0;1;0;0;1;0;0;0;0;0;0;1;0;0.196203829;0.513472834;0
1;19.4;1.208978517;0;1;0;0;1;0;0;0;0;0;0;1;0;0.091702122;0.626;0
1;37.5;1.476624903;0;1;0;0;1;0;0;0;1;0;0;0;0;0.230474467;0.591153846;0
1;21.755;1.477348491;1;0;0;1;0;0;1;0;0;0;0;0;0;-0.881569923;0.4225;0
1;22;1.439065767;0;1;0;0;0;0;1;0;0;0;0;0;0;-0.115336775;0.558123259;0
1;20;1.87052169;0;1;0;0;0;0;1;0;0;0;0;0;0;-0.086486374;0.83;0
1;19.6;1.326453646;0;1;0;0;1;0;0;0;0;0;0;1;0;-0.086486374;0.667857143;0
1;12;1.86357283;0;1;0;1;0;0;1;0;0;0;0;0;0;-0.086486374;0.667857143;0
1;15;2.173761452;0;1;0;1;0;0;0;0;1;0;0;0;0;4.34E-05;0.678;0
1;22.9;2.072750201;0;1;0;0;1;0;0;0;0;0;1;0;0;-0.108964585;0.568;0
1;12;0.604783751;0;1;0;0;0;0;0;0;0;0;0;1;0;0.041432165;0.398333333;1
1;12;1.548302395;0;1;0;1;0;0;0;0;0;0;1;0;0;0.146159056;0.6;1
1;12;1.259562703;0;1;0;1;0;0;1;0;0;0;0;0;0;0.113976758;0.5425;1
1;28.6;1.139819325;0;1;0;0;1;0;0;0;0;0;0;1;0;0.176120211;0.656514491;1
1;30.3;0.919738908;0;1;1;0;0;0;1;0;0;0;0;0;0;0.19384782;0.6555;1
